text,category
تحویل پروژه مهندسی نرم افزار,دانشگاه
مطالعه برای امتحان پایگاه داده,دانشگاه
انجام تحقیق برای درس هوش مصنوعی,دانشگاه
نوشتن گزارش آزمایشگاه,دانشگاه
تمرین ساختمان داده,دانشگاه
نوشتن کد پایتون,برنامه نویسی
رفع باگ برنامه,برنامه نویسی
ساخت پروژه پایتون,برنامه نویسی
تمرین الگوریتم,برنامه نویسی
یادگیری کتابخانه pandas,برنامه نویسی
ارسال گزارش به مدیر,کاری
برگزاری جلسه کاری,کاری
پاسخ دادن به ایمیل کاری,کاری
آماده کردن گزارش شرکت,کاری
پیگیری کارهای شرکت,کاری
مرتب کردن اتاق,شخصی
ورزش کردن,شخصی
مطالعه کتاب,شخصی
تماشای فیلم,شخصی
تماس با دوست,شخصی
خرید شیر و نان,خرید
خرید مواد غذایی,خرید
خرید لباس,خرید
خرید لوازم خانه,خرید
خرید دفتر و خودکار,خرید
مطالعه جزوه درس شبکه,دانشگاه
آماده شدن برای ارائه کلاسی,دانشگاه
نوشتن گزارش پروژه درسی,دانشگاه
حل تمرین ریاضی مهندسی,دانشگاه
خواندن فصل جدید کتاب درسی,دانشگاه
تحقیق درباره موضوع پروژه,دانشگاه
آماده کردن پاورپوینت دانشگاه,دانشگاه
ثبت نام برای امتحان,دانشگاه
مرور مطالب قبل از امتحان,دانشگاه
انجام تکلیف استاد,دانشگاه
نمره دادن به دانشجو،دانشگاه
رد کردن نمرات،دانشگاه
پیاده سازی برنامه پایتون,برنامه نویسی
نوشتن تابع جدید,برنامه نویسی
یادگیری زبان برنامه نویسی,برنامه نویسی
اشکال زدایی کد,برنامه نویسی
طراحی دیتابیس با پایتون,برنامه نویسی
تمرین کدنویسی,برنامه نویسی
ساخت برنامه با Streamlit,برنامه نویسی
کار با SQLite,برنامه نویسی
نوشتن کد برای پروژه,برنامه نویسی
بررسی خطای برنامه,برنامه نویسی
جلسه با مدیر,کاری
ارسال فایل برای همکار,کاری
بررسی وظایف شرکت,کاری
